Order_Date,Ship_Date,Region,Category,Products,Sales,Quantity,Revenue,Profit,Products1,total_sales1,Region1,total_profit1,Year,Products_loss,Loss
1/3/2014,1/7/2014,Central,Office Supplies,Paper,16.448,2,32.896,5.5512,Phones,330007.05,West,108418.45,2014,Fasteners,949.52
1/4/2014,1/8/2014,Central,Office Supplies,Labels,11.784,3,35.352,4.2717,Chairs,328167.73,East,91534.84,2015,Machines,3384.76
1/4/2014,1/8/2014,Central,Office Supplies,Storage,272.736,3,818.208,-64.7748,Storage,223843.61,South,46749.43,2016,Labels,5546.25
1/4/2014,1/8/2014,Central,Office Supplies,Binders,3.54,2,7.08,-5.487,Tables,206965.53,Central,39706.36,2017,Art,6527.79
1/5/2014,1/12/2014,East,Office Supplies,Art,19.536,3,58.608,4.884,Binders,203412.73,,,,Envelopes,6964.18
1/6/2014,1/7/2014,South,Office Supplies,Art,12.78,3,38.34,5.2398,,,,,,,
1/6/2014,1/8/2014,West,Office Supplies,Paper,19.44,3,58.32,9.3312,,,,,,,
1/6/2014,1/10/2014,South,Furniture,Chairs,2573.82,9,23164.38,746.4078,,,,,,,
1/6/2014,1/10/2014,South,Office Supplies,Binders,609.98,2,1219.96,274.491,,,,,,,
1/6/2014,1/10/2014,South,Office Supplies,Art,5.48,2,10.96,1.4796,,,,,,,
1/6/2014,1/10/2014,South,Technology,Phones,391.98,2,783.96,113.6742,,,,,,,
1/6/2014,1/10/2014,South,Technology,Phones,755.96,4,3023.84,204.1092,,,,,,,
1/6/2014,1/10/2014,South,Office Supplies,Fasteners,31.12,4,124.48,0.3112,,,,,,,
1/6/2014,1/10/2014,South,Office Supplies,Paper,6.54,1,6.54,3.0084,,,,,,,
1/7/2014,1/12/2014,Central,Furniture,Furnishings,76.728,3,230.184,-53.7096,,,,,,,
1/7/2014,1/12/2014,Central,Office Supplies,Binders,10.43,7,73.01,-18.2525,,,,,,,
1/9/2014,1/13/2014,Central,Office Supplies,Art,9.344,2,18.688,1.168,,,,,,,
1/9/2014,1/13/2014,Central,Technology,Accessories,31.2,3,93.6,9.75,,,,,,,
1/10/2014,1/15/2014,South,Office Supplies,Labels,2.89,1,2.89,1.3583,,,,,,,
1/10/2014,1/15/2014,South,Furniture,Furnishings,51.94,1,51.94,21.2954,,,,,,,
1/11/2014,1/14/2014,East,Furniture,Furnishings,9.94,2,19.88,3.0814,,,,,,,
1/13/2014,1/15/2014,South,Office Supplies,Envelopes,11.36,2,22.72,5.3392,,,,,,,
1/13/2014,1/15/2014,South,Office Supplies,Envelopes,50.94,3,152.82,25.47,,,,,,,
1/13/2014,1/15/2014,South,Technology,Accessories,646.74,6,3880.44,258.696,,,,,,,
1/13/2014,1/15/2014,South,Office Supplies,Binders,5.64,3,16.92,2.7072,,,,,,,
1/13/2014,1/15/2014,South,Office Supplies,Storage,572.58,6,3435.48,34.3548,,,,,,,
1/13/2014,1/16/2014,South,Furniture,Chairs,545.94,6,3275.64,87.3504,,,,,,,
1/13/2014,1/18/2014,West,Office Supplies,Storage,1325.85,5,6629.25,238.653,,,,,,,
1/13/2014,1/18/2014,West,Furniture,Bookcases,333.999,3,1001.997,3.9294,,,,,,,
1/13/2014,1/18/2014,West,Office Supplies,Art,19.9,5,99.5,6.567,,,,,,,
1/13/2014,1/18/2014,East,Office Supplies,Paper,37.408,7,261.856,13.0928,,,,,,,
1/13/2014,1/18/2014,East,Office Supplies,Binders,3.438,2,6.876,-2.5212,,,,,,,
1/14/2014,1/15/2014,East,Furniture,Bookcases,61.96,4,247.84,-53.2856,,,,,,,
1/15/2014,1/17/2014,South,Technology,Accessories,149.95,5,749.75,65.978,,,,,,,
1/16/2014,1/18/2014,East,Furniture,Furnishings,127.104,6,762.624,28.5984,,,,,,,
1/16/2014,1/18/2014,East,Technology,Phones,124.2,3,372.6,-31.05,,,,,,,
1/16/2014,1/18/2014,East,Office Supplies,Binders,18.588,2,37.176,-13.6312,,,,,,,
1/16/2014,1/18/2014,East,Office Supplies,Labels,30.072,3,90.216,10.1493,,,,,,,
1/18/2014,1/21/2014,West,Office Supplies,Appliances,64.864,4,259.456,6.4864,,,,,,,
1/19/2014,1/20/2014,West,Office Supplies,Binders,32.34,10,323.4,-23.716,,,,,,,
